"Country","Year","Debt","RGDP","GDP","GDPI","GDP1","GDP2","RGDP1","RGDP2","GDPI1","GDPI2","Infl","Debt1","Debt2","dRGDP","Debtalt","GDP2alt","GDPalt","RGDP2alt","debtgdp","GDP3","GNI"
"Australia",1800,,,,,0.608,,,,,,,,,,,,,,,,
"Australia",1801,,,,,0.72,,,,,,,,,,,,,,,,
"Australia",1802,,,,,0.716,,,,,,,,,,,,,,,,
"Australia",1803,,,,,0.768,,,,,,,,,,,,,,,,
"Australia",1804,,,,,0.884,,,,,,,,,,,,,,,,
"Australia",1805,,,,,0.952,,,,,,,,,,,,,,,,
"Australia",1806,,,,,1.044,,,,,,,,,,,,,,,,
"Australia",1807,,,,,1.112,,,,,,,,,,,,,,,,
"Australia",1808,,,,,1.096,,,,,,,,,,,,,,,,
"Australia",1809,,,,,1.188,,,,,,,,,,,,,,,,
"Australia",1810,,,,,1.672,,,,,,,,,,,,,,,,
"Australia",1811,,,,,1.564,,,,,,,,,,,,,,,,
"Australia",1812,,,,,1.604,,,,,,,,,,,,,,,,
"Australia",1813,,,,,1.672,,,,,,,,,,,,,,,,
"Australia",1814,,,,,1.744,,,,,,,,,,,,,,,,
"Australia",1815,,,,,2.124,,,,,,,,,,,,,,,,
"Australia",1816,,,,,1.98,,,,,,,,,,,,,,,,
"Australia",1817,,,,,2.216,,,,,,,,,,,,,,,,
"Australia",1818,,,,,2.54,,,,,,,,,,,,,,,,
"Australia",1819,,,,,2.788,,,,,,-2.96328,,,,,,,,,,
"Australia",1820,,,,,3.012,,173,,,,7.27417,,,,,,,,,,
"Australia",1821,,,,,3.776,,173,,,,-8.25423,,,,,,,,,,
"Australia",1822,,,,,4.24,,177,,,,4.80979,,,,,,,,,,
"Australia",1823,,,,,4.456,,183,,,,-21.92222,,,,,,,,,,
"Australia",1824,,,,,4.972,,195,,,,7.01284,,,,,,,,,,
"Australia",1825,,,,,5.2,,205,,,,10.64381,,,,,,,,,,
"Australia",1826,,,,,5.6,,207,,,,3.16698,,,,,,,,,,
"Australia",1827,,,,,6,,212,,,,-3.05784,,,,,,,,,,
"Australia",1828,,,,,6.8,,216,,,,20.22814,,,,,,,,,,
"Australia",1829,,,,,7.6,,228,,,,-8.92593,,,,,,,,,,
"Australia",1830,,,,,8.8,,280,,,,-33.80791,,,,,,,,,,
"Australia",1831,,,,,9.2,,292,,,,-7.82287,,,,,,,,,,
"Australia",1832,,,,,9.6,,303,,,,-9.89024,,,,,,,,,,
"Australia",1833,,,,,11.2,,314,,,,3.48835,,,,,,,,,,
"Australia",1834,,,,,15.2,,335,,,,27.1276,,,,,,,,,,
"Australia",1835,,,,,20.4,,410,,,,13.11773,,,,,,,,,,
"Australia",1836,,,,,21.2,,413,,,,23.66632,,,,,,,,,,
"Australia",1837,,,,,22.4,,440,,,,3.77361,,,,,,,,,,
"Australia",1838,,,,,23.6,,452,,,,2.01511,,,,,,,,,,
"Australia",1839,,,,,28,,438,,,,36.47015,,,,,,,,,,
"Australia",1840,,,,,34.4,,577,,,,-1.87235,,,,,,,,,,
"Australia",1841,,,,,28,,525,,,,-23.73599,,,,,,,,,,
"Australia",1842,,,,,25.2,,497,,,,-14.88313,,,,,,,,,,
"Australia",1843,,,,,23.6,,585,,,,-24.41936,,,,,,,,,,
"Australia",1844,,,,,24.8,,679,,,,-26.49728,,,,,,,,,,
"Australia",1845,,,,,28.8,,716,,,,-5.13233,,,,,,,,,,
"Australia",1846,,,,,32.4,,809,,,,41.47309,,,,,,,,,,
"Australia",1847,,,,,34.4,,960,,,,-19.52534,,,,,,,,,,
"Australia",1848,,,,,40.4,,1141,,,,-21.02503,,,,,,,,,,
"Australia",1849,,,,,40.4,,1207,,,,2.9857,,,,,,,,,,
"Australia",1850,,,,,46.8,,1195,,,,-2.00471,,,,,,,,,,
"Australia",1851,,,,,54.8,,1491,,,,-11.5983,,,,,,,,,,
"Australia",1852,0.41717,,,,120.8,,1952,,,,-0.56,,,,,,,,,,
"Australia",1853,0.62811,,,,176,,2393,,,,9.79887,,,,,,,,,,
"Australia",1854,1.04495,,,,206.4,,2338,,,,57.42966,,,,,,,,,,
"Australia",1855,3.25808,,,,203.6,,2459,,,,10.48124,,,,,,,,,,
"Australia",1856,6.18387,,,,207.2,,3251,,,,-12.92442,,,,,,,,,,
"Australia",1857,7.6279,,,,219.2,,3114,,,,5.06047,,,,,,,,,,
"Australia",1858,8.43814,,,,225.6,,2837,,,,0.13815,,,,,,,,,,
"Australia",1859,12.42279,,,,244.4,,3793,,,,-6.18964,,,,,,,,,,
"Australia",1860,20.2428,,,,254.4,,3838,,,,5.07843,,,,,,,,,,
"Australia",1861,21.84603,,,,258,,3837,,,,-13.09946,,,,,,,,,,
"Australia",1862,23.39692,,,,256.8,,3786,,,,1.2391,,,,,,,,,,
"Australia",1863,21.81806,,,,252.4,,3910,,,,-8.57309,,,,,,,,,,
"Australia",1864,33.25299,,,,260,,4329,,,,-4.84658,,,,,,,,,,
"Australia",1865,32.32014,,,,262,,4303,,,,5.15646,,,,,,,,,,
"Australia",1866,35.74895,,,,284.4,,4575,,,,2.46707,,,,,,,,,,
"Australia",1867,42.05877,,,,287.2,,5120,,,,-11.7192,,,,,,,,,,
"Australia",1868,47.80056,,,,306,,5366,,,,-0.20207,,,,,,,,,,
"Australia",1869,51.37291,,,,305.6,,5414,,,,-1.30574,,,,,,,,,,
"Australia",1870,56.39517,,,,326.8,,5810,,,,-2.80947,,,,,,,,,,
"Australia",1871,60.14803,,,,313.6,,5525,,,,4.09679,,,,,,,,,,
"Australia",1872,58.00195,,,,374.4,,6119,,,,-2.71517,,,,,,,,,,
"Australia",1873,62.21367,,,,436,,6764,,,,1.82272,,,,,,,,,,
"Australia",1874,85.50182,,,,440,,6987,,,,3.97787,,,,,,,,,,
"Australia",1875,111.2352,,,,476,,7755,,,,-1.9046,,,,,,,,,,
"Australia",1876,74.81471,,,,472,,7730,,,,-2.68377,,,,,,,,,,
"Australia",1877,84.52426,,,,480,,8052,,,,4.39251,,,,,,,,,,
"Australia",1878,87.11743,,,,504,,8820,,,,-7.52558,,,,,,,,,,
"Australia",1879,107.80977,,,,516,,8944,,,,-8.07145,,,,,,,,,,
"Australia",1880,119.10565,,,,536,,9415,,,,7.35036,,,,,,,,,,
"Australia",1881,131.89062,,,,568,,10108,,,,-0.64627,,,,,,,,,,
"Australia",1882,137.66985,,,,592,,9539,,,,12.60711,,,,,,,,,,
"Australia",1883,159.00082,,,,660,,10951,,,,1.16286,,,,,,,,,,
"Australia",1884,190.03739,,,,648,,11000,,,,-8.93119,,,,,,,,,,
"Australia",1885,216.10372,,,,692,,11719,,,,12.12069,,,,,,,,,,
"Australia",1886,232.61003,,,,680,,11867,,,,0.09523,,,,,,,,,,
"Australia",1887,244.41722,,,,752,,13131,,,,-7.8845,,,,,,,,,,
"Australia",1888,253.93733,,,,772,,13205,,,,0.69152,,,,,,,,,,
"Australia",1889,272.37498,,,,848,,14345,,,,-1.48758,,,,,,,,,,
"Australia",1890,285.82386,,,,824,,13850,,,,-4.90434,,,,,,,,,,
"Australia",1891,303.18517,,,,812,,14914,,,,4.31644,,,,,,,,,,
"Australia",1892,301.44232,,,,684,,13081,,,,-6.81648,,,,,,,,,,
"Australia",1893,316.46331,,,,612,,12362,,,,-4.88772,,,,,,,,,,
"Australia",1894,324.75978,,,,592,,12784,,,,-5.421,,,,,,,,,,
"Australia",1895,338.8822,,,,564,,12066,,,,0.38711,,,,,,,,,,
"Australia",1896,342.02881,,,,640,,12982,,,,3.0072,,,,,,,,,,
"Australia",1897,355.75947,,,,612,,12264,,,,0.5268,,,,,,,,,,
"Australia",1898,363.81482,,,,712,,14172,,,,-0.05508,,,,,,,,,,
"Australia",1899,372.27615,,,,724,,14172,,,,1.52798,,,,,,,,,,
"Australia",1900,384.86834,,,,756,,15014,,,,-2.80123,,,,,,,,,,
"Australia",1901,391.91525,,,,838,,14568,,,,1.97714,,,,,,,,,,
"Australia",1902,412.42182,,,,888,,14717,,,,6.96856,,,,,,,,,,
"Australia",1903,425.798,,,,856,,15881,,,,-5.88955,,,,,,,,,,
"Australia",1904,428.97973,,,,896,,16947,,,,-5.1863,,,,,,,,,,
"Australia",1905,436.24655,,,,888,,17145,,,,6.65716,,,,,,,,,,
"Australia",1906,450.9787,,,,958,,18309,,,,0.60933,,,,,,,,,,
"Australia",1907,444.65638,,,,1078,,19052,,,,-1.4869,,,,,,,,,,
"Australia",1908,454.09436,,,,1072,,19697,,,,7.89252,,,,,,,,,,
"Australia",1909,465.62756,,,,1146,,21307,,,,-1.23794,,,,,,,,,,
"Australia",1910,483.09003,,,,1246,,22793,,,,-0.3715,,,,,,,,,,
"Australia",1911,509.47464,,,,1968,,22967,,,,2.89561,,,,,,,,,,
"Australia",1912,548.5134,,,,1468,,23764,,,,12.06699,,,,,,,,,,
"Australia",1913,594.63093,,,,1604,,24861,,,,-5.13131,,,,,,,,,,
"Australia",1914,659.2,,,,1728,,24797,,,,3.19948,,,,,,,,,,
"Australia",1915,743.4,,,,1676,,24341,,,,10.19062,,,,,,,,,,
"Australia",1916,892.6,,,,1938,,24172,,,,0.80201,,,,,,,,,,
"Australia",1917,1046.6,,,,2044,,23716,,,,2.21907,,,,,,,,,,
"Australia",1918,1309,,,,2124,,23155,,,,9.71172,,,,,,,,,,
"Australia",1919,1388.4,,,,2290,,24488,,,,14.15489,,,,,,,,,,
